行	candidate_id	geom	centroid_geom	cluster_id	nearest_centroids_distance. CENTROID_ID	nearest_centroids_distance. DISTANCE	log_area_km2	log_perimeter_km	compactness	shape_index	log_neighbor_count_500m	log_neighbor_count_1000m	log_neighbor_count_1500m	log_nearest_neighbor_m	geology_lithology_count	dominant_lithology_share	dominant_lithology_ja	dominant_lithology_en	method	ndvi_threshold_max	slope_threshold_min_deg	confidence
1	896a502c8c48779f507f0de74d304c92	POLYGON((131.496948015175 32.7674261729415, 131.49721750976 32.7674261729415, 131.49721750976 32.7682346566972, 131.496948015175 32.7682346566972, 131.496948015175 32.7687736458676, 131.496409026004 32.7687736458676, 131.496409026004 32.7682346566972, 131.49667852059 32.7682346566972, 131.49667852059 32.7676956675267, 131.496948015175 32.7676956675267, 131.496948015175 32.7674261729415))	POINT(131.496843212549 32.768159795936)	4	4	2.7041725110006394	0.0067728212748242884	0.372150798182339	0.42013017265926411	1.5427944352212624	2.0794415416798357	3.1780538303479458	3.58351893845611	4.8682447204997574	2	0.875904139727483	チャート 後期ジュラ紀-前期白亜紀付加体	chert Late Jurassic to Early Cretaceous accretionary complex	slope_ndvi_threshold_v1	0.55	20	screening
					1	2.739801932495848																
					5	4.6296289290276764																
					2	5.4891346859167047																
					3	6.9274825513081186																
2	891d7fce587a3247498e2eabdb82ad76	MULTIPOLYGON(((131.492905596398 32.7714685917197, 131.493175090983 32.7714685917197, 131.493175090983 32.771738086305, 131.492905596398 32.771738086305, 131.492905596398 32.7714685917197)), ((131.493714080154 32.771738086305, 131.493714080154 32.7720075808902, 131.493175090983 32.7720075808902, 131.493175090983 32.771738086305, 131.493714080154 32.771738086305)), ((131.493714080154 32.7720075808902, 131.49506155308 32.7720075808902, 131.49506155308 32.7714685917197, 131.495331047665 32.7714685917197, 131.495331047665 32.7720075808902, 131.49560054225 32.7720075808902, 131.49560054225 32.7722770754755, 131.494792058495 32.7722770754755, 131.494792058495 32.7725465700607, 131.493983574739 32.7725465700607, 131.493983574739 32.7728160646459, 131.493714080154 32.7728160646459, 131.493714080154 32.7725465700607, 131.493444585568 32.7725465700607, 131.493444585568 32.7722770754755, 131.493714080154 32.7722770754755, 131.493714080154 32.7720075808902)))	POINT(131.494297985259 32.7721423292852)	1	1	3.7734983455570226	0.013499468720859525	0.67999027536360812	0.18008180864912532	2.3564871619218493	1.9459101490553132	3.1354942159291497	3.713572066704308	5.1537632121513957	3	0.663917077851761	チャート 後期ジュラ紀-前期白亜紀付加体	chert Late Jurassic to Early Cretaceous accretionary complex	slope_ndvi_threshold_v1	0.55	20	screening
					2	4.2252568431996176																
					4	4.8627341456684849																
					5	5.4106732858359718																
					3	7.3967261271373435																
3	0a6eabaa1f75a1f7f9f45b9e1f67caf4	POLYGON((131.435233755156 32.8261759925229, 131.435772744326 32.8261759925229, 131.435772744326 32.8267149816933, 131.436042238912 32.8267149816933, 131.436042238912 32.8275234654491, 131.435772744326 32.8275234654491, 131.435772744326 32.8269844762786, 131.434964260571 32.8269844762786, 131.434964260571 32.8267149816933, 131.435233755156 32.8267149816933, 131.435233755156 32.8261759925229))	POINT(131.435584097075 32.8267688796492)	1	1	2.8864702087413203	0.007517596369956572	0.40620790787295769	0.37761441507037696	1.6273303254789271	2.3025850929940459	3.4339872044851463	3.8066624897703196	5.2288203689142252	1	1.0	デイサイト・流紋岩 溶岩・火砕岩	dacite & rhyolite lava & pyroclastic rocks	slope_ndvi_threshold_v1	0.55	20	screening
					4	2.9619578780005176																
					5	4.8988652386187113																
					2	5.9193020469987738																
					3	7.1472095534095939																
4	c18151fb3b7ed814409164099b75a5c8	MULTIPOLYGON(((131.435772744328 32.8280624546193, 131.435772744328 32.827792960034, 131.436042238913 32.827792960034, 131.436042238913 32.8280624546193, 131.435772744328 32.8280624546193)), ((131.435772744328 32.8283319492045, 131.436042238913 32.8283319492045, 131.436042238913 32.8280624546193, 131.436311733498 32.8280624546193, 131.436311733498 32.828870938375, 131.436042238913 32.828870938375, 131.436042238913 32.8286014437898, 131.435233755157 32.8286014437898, 131.435233755157 32.8294099275455, 131.434964260572 32.8294099275455, 131.434964260572 32.8291404329602, 131.434694765987 32.8291404329602, 131.434694765987 32.828870938375, 131.434155776816 32.828870938375, 131.434155776816 32.8286014437898, 131.434964260572 32.8286014437898, 131.434964260572 32.8280624546193, 131.435772744328 32.8280624546193, 131.435772744328 32.8283319492045)), ((131.436311733498 32.8280624546193, 131.436311733498 32.8272539708636, 131.437659206425 32.8272539708636, 131.437659206425 32.8275234654488, 131.439006679351 32.8275234654488, 131.439006679351 32.827792960034, 131.43846769018 32.827792960034, 131.43846769018 32.8280624546193, 131.438198195595 32.8280624546193, 131.438198195595 32.8283319492045, 131.43846769018 32.8283319492045, 131.43846769018 32.8286014437898, 131.437659206425 32.8286014437898, 131.437659206425 32.828870938375, 131.437389711839 32.828870938375, 131.437389711839 32.8286014437898, 131.437120217254 32.8286014437898, 131.437120217254 32.8283319492045, 131.437659206425 32.8283319492045, 131.437659206425 32.8280624546193, 131.437389711839 32.8280624546193, 131.437389711839 32.827792960034, 131.437120217254 32.827792960034, 131.437120217254 32.8275234654488, 131.436850722669 32.8275234654488, 131.436850722669 32.8280624546193, 131.436311733498 32.8280624546193)))	POINT(131.436698406854 32.8281503374055)	1	1	3.613619555954056	0.034121842385706286	1.1206621761080133	0.10210356351590849	3.1295331062836182	2.3025850929940459	3.4011973816621555	3.784189633918261	5.2288203689142252	1	1.0	デイサイト・流紋岩 溶岩・火砕岩	dacite & rhyolite lava & pyroclastic rocks	slope_ndvi_threshold_v1	0.55	20	screening
					2	4.223535420603775																
					4	5.075041477767158																
					5	5.6485004925962929																
					3	7.6694686303352748																
5	1e4b7bb76486fc99ac6973d08056b8f3	MULTIPOLYGON(((131.433886282231 32.8250980141817, 131.433616787646 32.8250980141817, 131.433616787646 32.8253675087669, 131.433347293061 32.8253675087669, 131.433347293061 32.8248285195964, 131.433886282231 32.8248285195964, 131.433886282231 32.8250980141817)), ((131.433886282231 32.8250980141817, 131.434155776816 32.8250980141817, 131.434155776816 32.8256370033522, 131.434964260572 32.8256370033522, 131.434964260572 32.8259064979374, 131.434425271402 32.8259064979374, 131.434425271402 32.8261759925226, 131.434155776816 32.8261759925226, 131.434155776816 32.8259064979374, 131.433347293061 32.8259064979374, 131.433347293061 32.8256370033522, 131.433886282231 32.8256370033522, 131.433886282231 32.8250980141817)))	POINT(131.433998569818 32.82554717126)	1	1	2.5821318403875217	0.0090144774016371818	0.5667349051068763	0.19571618175189515	2.2604069438822707	2.1972245773362196	3.4011973816621555	3.784189633918261	5.2799222809424506	1	1.0	デイサイト・流紋岩 溶岩・火砕岩	dacite & rhyolite lava & pyroclastic rocks	slope_ndvi_threshold_v1	0.55	20	screening
					4	3.63419068528302																
					5	4.8106973588641981																
					2	5.0469181066503008																
					3	7.0366793627493189																
