A33_001,A33_002,A33_003,A33_004,A33_005,A33_006,A33_007,A33_008,phenomenon_type_ja,zone_type_ja,prefecture_ja,special_warning_status,properties_json,wkt
2,2,44,07-424-Ⅱ-016,堂ノ内二支渓(A),豊後大野市,2013-03-28,0,土石流,土砂災害特別警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 2, ""A33_002"": 2, ""A33_003"": ""44"", ""A33_004"": ""07-424-Ⅱ-016"", ""A33_005"": ""堂ノ内二支渓(A)"", ""A33_006"": ""豊後大野市"", ""A33_007"": ""2013-03-28"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""土石流"", ""zone_type_ja"": ""土砂災害特別警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.429521 32.900708, 131.429508 32.900717, 131.429582 32.900818, 131.429659 32.900761, 131.429538 32.900695, 131.429521 32.900708))"
2,2,44,07-424-Ⅱ-016,堂ノ内二支渓(B),豊後大野市,2013-03-28,0,土石流,土砂災害特別警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 2, ""A33_002"": 2, ""A33_003"": ""44"", ""A33_004"": ""07-424-Ⅱ-016"", ""A33_005"": ""堂ノ内二支渓(B)"", ""A33_006"": ""豊後大野市"", ""A33_007"": ""2013-03-28"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""土石流"", ""zone_type_ja"": ""土砂災害特別警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.428855 32.901712, 131.428862 32.901732, 131.429071 32.901692, 131.429055 32.901644, 131.428849 32.901694, 131.428855 32.901712))"
2,2,44,07-424-Ⅱ-018,谷門谷川二支渓,豊後大野市,2013-03-28,0,土石流,土砂災害特別警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 2, ""A33_002"": 2, ""A33_003"": ""44"", ""A33_004"": ""07-424-Ⅱ-018"", ""A33_005"": ""谷門谷川二支渓"", ""A33_006"": ""豊後大野市"", ""A33_007"": ""2013-03-28"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""土石流"", ""zone_type_ja"": ""土砂災害特別警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.433024 32.903772, 131.433041 32.903801, 131.433197 32.903771, 131.433155 32.903687, 131.433004 32.903739, 131.433024 32.903772))"
2,2,44,07-424-Ⅰ-006,栗林川(B),豊後大野市,2012-03-30,0,土石流,土砂災害特別警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 2, ""A33_002"": 2, ""A33_003"": ""44"", ""A33_004"": ""07-424-Ⅰ-006"", ""A33_005"": ""栗林川(B)"", ""A33_006"": ""豊後大野市"", ""A33_007"": ""2012-03-30"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""土石流"", ""zone_type_ja"": ""土砂災害特別警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.430341 32.887256, 131.430375 32.887305, 131.430555 32.887215, 131.430574 32.887208, 131.430519 32.887113, 131.430502 32.887124, 131.430324 32.887231, 131.430341 32.887256))"
2,2,44,07-424-Ⅱ-014,栗林谷川,豊後大野市,2012-03-30,0,土石流,土砂災害特別警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 2, ""A33_002"": 2, ""A33_003"": ""44"", ""A33_004"": ""07-424-Ⅱ-014"", ""A33_005"": ""栗林谷川"", ""A33_006"": ""豊後大野市"", ""A33_007"": ""2012-03-30"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""土石流"", ""zone_type_ja"": ""土砂災害特別警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.427012 32.893024, 131.42699 32.89304, 131.427129 32.893141, 131.427182 32.893103, 131.427037 32.893006, 131.427012 32.893024))"
2,2,44,07-424-Ⅰ-004,黒谷川一支渓,豊後大野市,2012-03-30,0,土石流,土砂災害特別警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 2, ""A33_002"": 2, ""A33_003"": ""44"", ""A33_004"": ""07-424-Ⅰ-004"", ""A33_005"": ""黒谷川一支渓"", ""A33_006"": ""豊後大野市"", ""A33_007"": ""2012-03-30"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""土石流"", ""zone_type_ja"": ""土砂災害特別警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.425665 32.8667, 131.425653 32.866756, 131.425843 32.866815, 131.426024 32.866905, 131.426209 32.866999, 131.426288 32.867027, 131.426355 32.866893, 131.426281 32.866857, 131.426108 32.86674, 131.4259 32.86668, 131.425674 32.866659, 131.425665 32.8667))"
2,2,44,07-424-Ⅰ-005,黒谷川二支渓,豊後大野市,2012-03-30,0,土石流,土砂災害特別警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 2, ""A33_002"": 2, ""A33_003"": ""44"", ""A33_004"": ""07-424-Ⅰ-005"", ""A33_005"": ""黒谷川二支渓"", ""A33_006"": ""豊後大野市"", ""A33_007"": ""2012-03-30"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""土石流"", ""zone_type_ja"": ""土砂災害特別警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.426892 32.867742, 131.426933 32.867779, 131.427084 32.867652, 131.427098 32.867637, 131.427047 32.867591, 131.427038 32.867609, 131.426871 32.867722, 131.426892 32.867742))"
2,2,44,07-424-Ⅱ-007,九折川,豊後大野市,2012-03-30,0,土石流,土砂災害特別警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 2, ""A33_002"": 2, ""A33_003"": ""44"", ""A33_004"": ""07-424-Ⅱ-007"", ""A33_005"": ""九折川"", ""A33_006"": ""豊後大野市"", ""A33_007"": ""2012-03-30"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""土石流"", ""zone_type_ja"": ""土砂災害特別警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.446656 32.85234, 131.446646 32.852354, 131.446679 32.852396, 131.446731 32.852323, 131.446677 32.852311, 131.446656 32.85234))"
2,2,44,07-424-Ⅱ-008,九折川二支渓,豊後大野市,2012-03-30,0,土石流,土砂災害特別警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 2, ""A33_002"": 2, ""A33_003"": ""44"", ""A33_004"": ""07-424-Ⅱ-008"", ""A33_005"": ""九折川二支渓"", ""A33_006"": ""豊後大野市"", ""A33_007"": ""2012-03-30"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""土石流"", ""zone_type_ja"": ""土砂災害特別警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.44516 32.855758, 131.445159 32.855744, 131.445155 32.855711, 131.445077 32.855648, 131.444845 32.85559, 131.444659 32.855493, 131.444522 32.855359, 131.444418 32.855211, 131.444338 32.855056, 131.444219 32.854906, 131.444138 32.854739, 131.44402 32.854582, 131.443964 32.854608, 131.443926 32.854625, 131.444011 32.854787, 131.44407 32.854962, 131.444159 32.855129, 131.444159 32.85536, 131.444477 32.855652, 131.44463 32.855777, 131.445046 32.856118, 131.445049 32.856117, 131.445063 32.856113, 131.44508 32.856108, 131.445092 32.856105, 131.445116 32.856095, 131.445118 32.856094, 131.445151 32.856079, 131.445177 32.856058, 131.44518 32.856054, 131.445189 32.856039, 131.445192 32.856033, 131.445197 32.856022, 131.44521 32.855989, 131.445217 32.855944, 131.445214 32.8559, 131.445199 32.85586, 131.445176 32.855798, 131.44517 32.855782, 131.44516 32.855758))"
2,2,44,07-424-Ⅱ-009,上畑川一支渓,豊後大野市,2012-03-30,0,土石流,土砂災害特別警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 2, ""A33_002"": 2, ""A33_003"": ""44"", ""A33_004"": ""07-424-Ⅱ-009"", ""A33_005"": ""上畑川一支渓"", ""A33_006"": ""豊後大野市"", ""A33_007"": ""2012-03-30"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""土石流"", ""zone_type_ja"": ""土砂災害特別警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.426014 32.850045, 131.425967 32.849995, 131.425779 32.850062, 131.425619 32.85017, 131.425434 32.850264, 131.425235 32.850329, 131.425229 32.850341, 131.425295 32.850471, 131.425305 32.850468, 131.4255 32.850395, 131.425698 32.850326, 131.425897 32.850231, 131.426053 32.850086, 131.426014 32.850045))"
